referring_domain,referring_url,anchor,dr,traffic,target_url,type,nofollow
,,Sem Título-2,4.8,0,https://fornecedores.aviva.com.br/,image,False
,,Check-in,50.0,0,http://webcheckin.aviva.com.br/,text,False
,,Aviva,17.0,0,https://www.aviva.com.br/,text,False
,,Conheça,40.0,0,https://www.aviva.com.br/,text,False
,,Aviva,44.0,0,http://www.aviva.com.br/,image,False
,,Learn more,40.0,0,https://www.aviva.com.br/,text,False
,,Check-in,47.0,0,http://webcheckin.aviva.com.br/,text,False
,,Aviva,40.0,0,https://www.aviva.com.br/,text,False
,,Aviva,89.0,0,https://www.aviva.com.br/,text,False
,,www.aviva.com.br,91.0,0,http://www.aviva.com.br/,text,False
,,SITE OFICIAL,40.0,0,https://www.aviva.com.br/,text,False
,,Aviva,55.0,0,https://www.aviva.com.br/,text,False
,,,48.0,0,https://www.aviva.com.br/,image,False
,,Website,85.0,0,https://www.aviva.com.br/,text,False
,,Seja Parceiro,34.0,0,https://fornecedores.aviva.com.br/,text,False
,,logo-aviva,34.0,0,https://www.aviva.com.br/,image,False
,,Tem uma reserva?,34.0,0,https://services.aviva.com.br/,text,False
,,Relatório de igualdade salarial,34.0,0,https://www.aviva.com.br/relatorio-de-igualdade-salarial/,text,False
,,Aviva,34.0,0,https://www.aviva.com.br/,text,False
,,Política de Privacidade,50.0,0,https://www.aviva.com.br/politica-de-privacidade.php,text,False
,,Política de Privacidade e Cookies | Aviva,0.0,0,https://www.aviva.com.br/politica-de-privacidade.php,text,False
,,Conocer,40.0,0,https://www.aviva.com.br/,text,False
,,Apoio 27 - Aviva,61.0,0,https://www.aviva.com.br/,image,False
,,AVIVA,71.0,0,https://www.aviva.com.br/,image,False
,,Check-In,50.0,0,http://webcheckin.aviva.com.br/,text,False
,,site oficial da Aviva,65.0,0,https://reservas.aviva.com.br/b2c/hotel/U99364/M35262/23-01-2026/01-02-2026/2,text,False
,,logo da empresa,26.0,0,https://www.aviva.com.br/,image,False
,,https://aviva.com.br,40.0,0,https://www.aviva.com.br/,text,False
,,https://aviva.com.br,4.0,0,https://aviva.com.br/,text,False
,,Visitar parceiro,6.0,0,https://www.aviva.com.br/,text,False
,,,0.0,0,https://www.aviva.com.br/,redirect,False
,,AVIVA,28.0,0,https://www.aviva.com.br/,text,True
,,https://aviva.com.br.,25.0,0,https://www.aviva.com.br/,text,False
,,Aviva,22.0,0,https://www.aviva.com.br/,text,False
,,https://aviva.com.br,4.5,0,https://aviva.com.br/,text,False
,,a gestora do Hot Park e dos complexos turísticos Rio Quente Resorts (GO) e Costa do Sauípe (BA),54.0,0,https://www.aviva.com.br/,text,False
,,https://aviva.com.br,30.0,0,https://www.aviva.com.br/,text,False
,,http://www.aviva.com.br,74.0,0,http://www.aviva.com.br/,text,True
,,"Web Check-In Web Check-In Garanta agilidade e comodidade em suas férias, faça o check-in online antecipado! A entrada para sua acomodação será a partir das 15h. Fazer Check-In",34.0,0,https://services.aviva.com.br/,image,False
,,clicando aqui,34.0,0,https://services.aviva.com.br/,text,False
,,Web check-in,34.0,0,http://webcheckin.aviva.com.br/,text,False
,,aviva.com.br,4.0,0,https://www.aviva.com.br/,text,False
,,Fazer web check-In,34.0,0,https://services.aviva.com.br/,text,False
,,,9.0,0,https://fornecedores.aviva.com.br/,redirect,False
,,Web Check-in,34.0,0,http://webcheckin.aviva.com.br/,text,False
,,Web Check-in,34.0,0,https://services.aviva.com.br/,text,False
,,Check-In Online Check-In Online,34.0,0,https://services.aviva.com.br/,image,False
,,Relatório de Igualdade Salarial,34.0,0,https://www.aviva.com.br/relatorio-de-igualdade-salarial/,text,False
,,https://aviva.com.br,8.0,0,https://aviva.com.br/,text,False
,,https://convenios.aviva.com.br/,16.0,0,https://convenios.aviva.com.br/,text,False
,,Você tem uma reserva? Faça Check-in,34.0,0,https://services.aviva.com.br/,text,False
,,https://aviva.com.br.,21.0,0,https://www.aviva.com.br/,text,False
,,WEB CHECK-IN,34.0,0,http://webcheckin.aviva.com.br/,text,False
,,Aviva,11.0,0,https://www.aviva.com.br/,text,False
,,Aviva,57.0,0,https://www.aviva.com.br/,text,False
,,Learn more about us,40.0,0,https://www.aviva.com.br/,text,False
,,https://aviva.com.br,0.0,0,https://www.aviva.com.br/,text,False
,,https://aviva.com.br,48.0,0,https://www.aviva.com.br/,text,False
,,,0.4,0,http://www.aviva.com.br/,image,False
,,ValeTur,41.0,0,https://fornecedores.aviva.com.br/,text,False
,,https://aviva.com.br,29.0,0,https://aviva.com.br/,text,False
,,plataforma de viagens e entretenimento,54.0,0,https://www.aviva.com.br/,text,False
,,https://aviva.com.br,20.0,0,https://www.aviva.com.br/,text,False
,,Aviva,83.0,0,https://www.aviva.com.br/,text,False
,,Aviva,57.0,0,https://www.aviva.com.br/,text,False
,,Valetur Viagens,20.0,0,https://fornecedores.aviva.com.br/,text,False
,,https://aviva.com.br,22.0,0,https://aviva.com.br/,text,False
,,Aviva,55.0,0,https://www.aviva.com.br/,text,False
,,Aviva,57.0,0,https://www.aviva.com.br/,text,False
,,Aviva,57.0,0,https://www.aviva.com.br/,text,False
,,Valetur Viagens,19.0,0,https://fornecedores.aviva.com.br/,text,False
,,https://aviva.com.br,28.0,0,https://www.aviva.com.br/,text,False
,,Aviva,23.0,0,https://www.aviva.com.br/,text,False
,,Valetur,89.0,0,https://fornecedores.aviva.com.br/,text,False
,,https://aviva.com.br,2.7,0,https://aviva.com.br/,text,False
,,https://aviva.com.br,2.7,0,https://www.aviva.com.br/,text,False
,,Aviva,54.0,0,https://www.aviva.com.br/,text,False
,,Aviva,16.0,0,https://www.aviva.com.br/,text,False
,,Aviva Destinos,71.0,0,https://www.aviva.com.br/,image,False
,,Valetur Viagens,57.0,0,https://fornecedores.aviva.com.br/,text,False
,,site,35.0,0,https://aviva.com.br/,text,False
,,https://aviva.com.br,35.0,0,https://www.aviva.com.br/,text,False
,,voos fretados,11.0,0,https://fornecedores.aviva.com.br/,text,False
,,https://aviva.com.br,0.1,0,https://www.aviva.com.br/,text,False
,,Aviva,17.0,0,https://www.aviva.com.br/,text,False
,,Valetur,89.0,0,https://fornecedores.aviva.com.br/,text,False
,,aviva.com.br,28.0,0,https://aviva.com.br/,text,False
,,Valetur,89.0,0,https://fornecedores.aviva.com.br/,text,False
,,https://aviva.com.br,1.4,0,https://aviva.com.br/,text,False
,,empresa,55.0,0,https://www.aviva.com.br/,text,False
,,Aviva Algar FLC,57.0,0,https://fornecedores.aviva.com.br/,text,False
,,Aviva,27.0,0,https://www.aviva.com.br/,image,False
,,entretenimento,40.0,0,https://www.aviva.com.br/,text,False
,,https://aviva.com.br,25.0,0,https://aviva.com.br/,text,False
,,https://aviva.com.br,40.0,0,https://aviva.com.br/,text,False
,,empresa,54.0,0,https://www.aviva.com.br/,text,False
,,https://aviva.com.br,4.0,0,https://aviva.com.br/,text,False
,,https://reservas.aviva.com.br/infotravel,13.0,0,https://reservas.aviva.com.br/infotravel/,text,True
,,AVIVA,23.0,0,http://aviva.com.br/,image,False
,,https://aviva.com.br,0.6,0,https://aviva.com.br/,text,False
,,https://aviva.com.br,19.0,0,https://www.aviva.com.br/,text,False
,,Aviva,57.0,0,http://www.aviva.com.br/,text,False
,,https://aviva.com.br,35.0,0,https://aviva.com.br/,text,False
,,https://www.aviva.com.br/portaldeprivacidade,4.4,0,https://www.aviva.com.br/portaldeprivacidade,text,False
,,Aviva,23.0,0,https://www.aviva.com.br/,text,False
,,agente.valetur.com.br,71.0,0,https://reservas.aviva.com.br/infotravel/,text,False
,,,71.0,0,https://www.aviva.com.br/,image,False
,,https://aviva.com.br,13.0,0,https://www.aviva.com.br/,text,False
,,https://aviva.com.br,19.0,0,https://aviva.com.br/,text,False
,,Aviva,57.0,0,https://www.aviva.com.br/,text,False
,,https://aviva.com.br,23.0,0,https://aviva.com.br/,text,False
,,Visitar página,40.0,0,https://www.aviva.com.br/,text,False
,,https://aviva.com.br,48.0,0,https://aviva.com.br/,text,False
,,Aviva,32.0,0,https://www.aviva.com.br/,text,False
,,Site,52.0,0,https://www.aviva.com.br/,text,False
,,https://aviva.com.br,8.0,0,https://aviva.com.br/,text,False
,,https://aviva.com.br,8.0,0,https://aviva.com.br/,text,False
,,https://aviva.com.br,35.0,0,https://aviva.com.br/,text,True
,,Aviva,57.0,0,https://www.aviva.com.br/,text,False
,,https://aviva.com.br,35.0,0,https://www.aviva.com.br/,text,False
,,www.aviva.com.br,57.0,0,http://www.aviva.com.br/,text,False
,,Aviva,22.0,0,https://www.aviva.com.br/,text,False
,,http://www.aviva.com.br,27.0,0,https://www.aviva.com.br/,text,False
,,https://aviva.com.br,0.1,0,https://www.aviva.com.br/,text,False
,,https://aviva.com.br,38.0,0,https://aviva.com.br/,text,False
,,aviva.com.br,75.0,0,https://www.aviva.com.br/,text,True
,,Site oficial,6.0,0,http://www.aviva.com.br/,text,False
,,Aviva,23.0,0,https://www.aviva.com.br/,image,False
,,Aviva,55.0,0,https://www.aviva.com.br/,text,False
,,https://aviva.com.br,4.6,0,https://www.aviva.com.br/,text,False
,,https://aviva.,4.6,0,https://www.aviva.com.br/,text,False
,,Grupo Aviva,54.0,0,https://fornecedores.aviva.com.br/,text,False
,,https://aviva.com.br,35.0,0,https://www.aviva.com.br/,text,False
,,Aviva,23.0,0,https://www.aviva.com.br/,text,False
,,aviva,1.5,0,https://aviva.com.br/,text,False
,,https://aviva.com.br,27.0,0,https://aviva.com.br/,text,False
,,Aviva,22.0,0,https://www.aviva.com.br/,text,False
,,https://aviva.com.br,35.0,0,https://aviva.com.br/,text,False
,,https://aviva.com.br,7.0,0,https://aviva.com.br/,text,False
,,www.aviva.com.br,37.0,0,http://www.aviva.com.br/,text,False
,,Aviva,91.0,0,https://www.aviva.com.br/,text,False
,,Aviva,23.0,0,https://www.aviva.com.br/,text,False
,,Aviva,55.0,0,https://www.aviva.com.br/,text,False
,,https://aviva.com.br,27.0,0,https://aviva.com.br/,text,False
,,Aviva,55.0,0,https://www.aviva.com.br/,text,False
,,aviva.com.br,37.0,0,https://www.aviva.com.br/,text,False
,,acesse o site,79.0,0,https://www.aviva.com.br/,text,False
,,,7.0,0,https://www.aviva.com.br/,image,False
,,Aviva,55.0,0,https://www.aviva.com.br/,text,False
,,www.aviva.com.br/,91.0,0,https://www.aviva.com.br/,text,True
,,,5.0,0,https://fornecedores.aviva.com.br/,redirect,False
,,Valetur Viagens,57.0,0,https://fornecedores.aviva.com.br/,text,False
,,View the website,75.0,0,https://www.aviva.com.br/,text,False
,,avivaoperadora.com.br,17.0,0,https://fornecedores.aviva.com.br/,text,False
,,​,0.0,0,https://fornecedores.aviva.com.br/,text,False
,,aviva,25.0,0,https://aviva.com.br/,text,False
,,avivaoperadora.com.br,0.0,0,https://fornecedores.aviva.com.br/,text,False
,,avivaoperadora.com.br,26.0,0,https://fornecedores.aviva.com.br/,text,False
,,"Rank avivadestinos.com.br long-term — monthly SEO, DR80+, PBN, DR/DA/TF, full SEO — gambling accepted. | Visit Rankva.com for any Query",15.0,0,https://www.aviva.com.br/,text,True
,,avivaoperadora.com.br,6.0,0,https://fornecedores.aviva.com.br/,text,False
,,Aviva,65.0,0,https://www.aviva.com.br/,text,False
,,www.valetur.com.br,15.0,0,https://fornecedores.aviva.com.br/,text,False
,,,2.0,0,http://www.aviva.com.br/uploads/24/190/0198.jpg,image,False
,,"Complete performance-focused SEO package with DR, DA and TF boost for avivadestinos.com.br | RankZly.com – Your Unbeatable SEO Partner for Fast Google Rankings",74.0,0,https://www.aviva.com.br/,text,True
,,avivaoperadora.com.br,19.0,0,https://fornecedores.aviva.com.br/,text,False
,,Aviva,18.0,0,https://www.aviva.com.br/,text,False
,,avivadestinos.com.br,49.0,0,https://www.aviva.com.br/,text,True
,,avivaoperadora.com.br,18.0,0,https://fornecedores.aviva.com.br/,text,False
,,aviva.com.br,19.0,0,https://www.aviva.com.br/,text,False
,,www.valetur.com.br,74.0,0,https://fornecedores.aviva.com.br/,text,False
,,Valetur,57.0,0,https://fornecedores.aviva.com.br/,text,False
,,Valetur Viagens,17.0,0,https://fornecedores.aviva.com.br/,text,False
,,empresa,54.0,0,https://www.aviva.com.br/,text,False
,,Valetur,15.0,0,https://fornecedores.aviva.com.br/,text,False
,,avivaoperadora.com.br,17.0,0,https://fornecedores.aviva.com.br/,text,False
,,Aviva,32.0,0,https://www.aviva.com.br/,text,False
,,"Honestly, there was a time when avivaoperadora.com.br seemed invisible online with only marginal visitor numbers each month. Fortunately, after trying out SEOExpress.org's guest posting services, it was like magic! Traffic skyrocketed from around 200 visits per month to over 4,000—in less than three months! Their expertise made all the difference; don't hesitate to explore what they offer 🔥",29.0,0,https://fornecedores.aviva.com.br/,text,True
,,www.valetur.com.br,55.0,0,https://fornecedores.aviva.com.br/,text,False
,,"Before I found SEOExpress.org, my site was invisible online; there wasn't much hope left for avivadestinos.com.br. Their technical audits uncovered so many issues I'd overlooked. Within weeks of implementing their suggestions and backlinks strategy, my organic traffic jumped by an incredible +300%. Now I'm consistently ranking at the top—if you need an affordable boost in your online visibility ...",27.0,0,https://www.aviva.com.br/,text,True
,,Aviva,3.1,0,https://www.aviva.com.br/,text,False
,,avivaoperadora.com.br,32.0,0,https://fornecedores.aviva.com.br/,text,True
,,Aviva,28.0,0,https://www.aviva.com.br/,text,False
,,aviva,30.0,0,https://www.aviva.com.br/,text,False
,,aviva,17.0,0,https://www.aviva.com.br/,text,False
,,https://reservas.aviva.com.br/infotravel,6.0,0,https://reservas.aviva.com.br/infotravel/,text,True
,,www.valetur.com.br,35.0,0,https://fornecedores.aviva.com.br/,text,False
,,"gestora dos empreendimentos Costa do Sauípe (BA), Rio Quente Resorts (GO) e do parque aquático Hot Park",54.0,0,https://www.aviva.com.br/,text,False
,,Aviva,55.0,0,https://www.aviva.com.br/,text,False
,,"Honestly, before using the services at SEOExpress.org even thinking about growing aviva.com.br seemed daunting; however after investing in their technical audits plus optimized fixes improvements came fast: My load speeds improved significantly which helped boost user experience without losing sight of costs—a small investment leading me toward achieving big goals 🎯.",75.0,0,https://aviva.com.br/,text,True
,,avivaoperadora.com.br,19.0,0,https://fornecedores.aviva.com.br/,text,False
,,aviva.com.br,25.0,0,http://aviva.com.br/,text,False
,,valetur.com.br,37.0,0,https://fornecedores.aviva.com.br/,text,False
,,aviva.com.br,13.0,0,https://aviva.com.br/,text,False
,,"Rank aviva.com.br — DR80+ links, full SEO, monthly SEO, PBN, DR/DA/TF — gambling accepted. | Visit Rankva.com for any Query",15.0,0,https://aviva.com.br/,text,True
,,avivaoperadora.com.br,18.0,0,https://fornecedores.aviva.com.br/,text,False
,,avivadestinos.com.br,37.0,0,https://www.aviva.com.br/,text,False
,,avivaoperadora.com.br,57.0,0,https://fornecedores.aviva.com.br/,text,False
,,Aviva,35.0,0,https://www.aviva.com.br/,text,False
,,valetur.com.br,2.8,0,https://fornecedores.aviva.com.br/,text,False
,,avivaoperadora.com.br,18.0,0,https://fornecedores.aviva.com.br/,text,False
,,entretenimento,0.0,0,https://www.aviva.com.br/,text,False
,,avivaoperadora.com.br,38.0,0,https://fornecedores.aviva.com.br/,text,False
,,Aviva,0.0,0,https://www.aviva.com.br/,text,False
,,agente.aviva.com.br,42.0,0,http://agente.aviva.com.br/,text,False
,,Aviva,54.0,0,https://www.aviva.com.br/,text,False
,,avivaoperadora.com.br,20.0,0,https://fornecedores.aviva.com.br/,text,False
,,Valetur Viagens,71.0,0,https://fornecedores.aviva.com.br/,text,False
,,aviva,17.0,0,https://aviva.com.br/,text,False
,,aviva,20.0,0,https://aviva.com.br/,text,True
,,aviva,19.0,0,https://www.aviva.com.br/,text,False
,,avivaoperadora.com.br,22.0,0,https://fornecedores.aviva.com.br/,text,False
,,valetur.com.br,54.0,0,https://fornecedores.aviva.com.br/,text,True
,,https://aviva.com.br,0.0,0,https://www.aviva.com.br/,text,False
,,www.aviva.com.br/rio-quente?ut...,71.0,0,https://www.aviva.com.br/rio-quente,text,True
,,avivaoperadora.com.br,57.0,0,https://fornecedores.aviva.com.br/,text,False
,,avivaoperadora.com.br,15.0,0,https://fornecedores.aviva.com.br/,text,False
,,avivaoperadora.com.br,17.0,0,https://fornecedores.aviva.com.br/,text,False
,,aviva.com.br,29.0,0,https://aviva.com.br/,text,True
,,aviva.com.br,15.0,0,https://aviva.com.br/,text,False
,,Domain upgrade for aviva.com.br: high-DR guest blogging + backlinks; DR/DA/TF rise — worldwide. | Visit buybacklinks.agency for any Query,79.0,0,https://www.aviva.com.br/,text,True
,,aviva,22.0,0,https://www.aviva.com.br/,text,False
,,empresa,55.0,0,https://www.aviva.com.br/,text,False
,,aviva,31.0,0,https://aviva.com.br/,text,False
,,avivaoperadora.com.br,15.0,0,https://fornecedores.aviva.com.br/,text,False
,,avivaoperadora.com.br,57.0,0,https://fornecedores.aviva.com.br/,text,False
,,avivaoperadora.com.br,57.0,0,https://fornecedores.aviva.com.br/,text,False
,,aviva,15.0,0,https://www.aviva.com.br/,text,False
,,aviva.com.br,17.0,0,https://aviva.com.br/,text,False
,,avivaoperadora.com.br,18.0,0,https://fornecedores.aviva.com.br/,text,False
,,aviva.com.br,18.0,0,https://aviva.com.br/,text,False
,,https://aviva.com.br,16.0,0,https://www.aviva.com.br/,text,True
,,Aviva,35.0,0,https://www.aviva.com.br/,text,False
,,avivaoperadora.com.br,13.0,0,https://fornecedores.aviva.com.br/,text,False
,,https://aviva.com.br,35.0,0,https://www.aviva.com.br/,text,True
,,https://www.aviva.com.br/,27.0,0,https://www.aviva.com.br/,text,False
,,no site tem mais informaçōes com a operadora oficial,11.0,0,https://fornecedores.aviva.com.br/,text,False
,,https://www.aviva.com.br/,2.3,0,https://www.aviva.com.br/,text,False
,,www.aviva.com.br/neuza-ladeira.html,33.0,0,http://www.aviva.com.br/neuza-ladeira.html,text,False
,,Aviva,35.0,0,https://www.aviva.com.br/,text,False
,,https://aviva.com.br,30.0,0,https://www.aviva.com.br/,text,False
,,aviva,55.0,0,https://www.aviva.com.br/,text,False
,,aviva.com.br,0.0,0,https://aviva.com.br/,text,False
,,https://aviva.com.br/,0.0,0,https://aviva.com.br/,text,False
,,aviva.com.br,26.0,0,https://www.aviva.com.br/,text,True
,,aviva,30.0,0,https://aviva.com.br/,text,False
,,avivaoperadora.com.br,19.0,0,https://fornecedores.aviva.com.br/,text,False
,,Elevate avivaoperadora.com.br domain rating: editorial backlinks + SaaS maker + SEO agency; TF/DA surge — lynkvex.com,0.1,0,https://fornecedores.aviva.com.br/,text,True
,,Rank boost for valetur.com.br: authoritative guest blogging + backlinks; DR/DA/TF climb — global markets. | Visit buybacklinks.agency for any Query,79.0,0,https://fornecedores.aviva.com.br/,text,True
,,https://aviva.com.br,21.0,0,https://aviva.com.br/,text,False
,,aviva,18.0,0,https://aviva.com.br/,text,False
,,operadora oficial,20.0,0,https://fornecedores.aviva.com.br/,text,False
,,https://aviva.com.br,4.2,0,https://www.aviva.com.br/,text,False
,,avivaoperadora.com.br,20.0,0,https://fornecedores.aviva.com.br/,text,False
,,avivaoperadora.com.br,0.1,0,https://fornecedores.aviva.com.br/,text,False
,,"SERP climb valetur.com.br: DR80+, PBN, monthly SEO, DR/DA/TF, full SEO — gambling accepted. | Visit Rankva.com for any Query",15.0,0,https://fornecedores.aviva.com.br/,text,True
